Age,Condition,Date,Drug,DrugId,EaseofUse,Effectiveness,Reviews,Satisfaction,Sex,Sides
65-74,Bronchospasm Prevention with COPD,2016-07-04,striverdi respimat mist inhaler,166803,4,1,Makes my insides quiver and makes me very dizzy and feel like I am going to pass out. ,1,Male,"Nervousness, shaking (tremor), and  trouble sleeping  may occur."
65-74,Bronchospasm Prevention with COPD,2016-01-08,striverdi respimat mist inhaler,166803,3,5,"I have been on this inhaler for 30 days and when I ran out, I realized how short of breath I was and rushed to get it refilled.  I have not had to use ProAir rescue inhaler since I started this med.",5,Female,"Nervousness, shaking (tremor), and  trouble sleeping  may occur."
55-64,Bronchospasm Prevention with COPD,2019-04-06,stiolto respimat mist inhaler,168804,5,3,"This is a new application method, which I believe is superior.  The effectivesness compared to my older SPIRIVA and SYMBICORT combination is lacking, however.  My stamina and ability to breathe under any pulmonary stressor is diminished.",3,Male,"Nervousness, shaking (tremor), or  trouble sleeping  may occur."
55-64,Bronchospasm Prevention with COPD,2018-05-17,stiolto respimat mist inhaler,168804,4,4,I didn't realize how bad my breathing really was until I started taking this medication and saw how good it could be. So glad to be on this medication. Review of that stuff,5,Female,"Nervousness, shaking (tremor), or  trouble sleeping  may occur."
65-74,Bronchospasm Prevention with COPD,2018-02-18,stiolto respimat mist inhaler,168804,5,5,This medication has made a huge difference in my breathing. Wish I had been prescribed it sooner.,5,Female,"Nervousness, shaking (tremor), or  trouble sleeping  may occur."
55-64,Bronchospasm Prevention with COPD,2017-01-24,stiolto respimat mist inhaler,168804,5,5,This product is awesome! I am no longer feeling as if I am short of breath. My activity has increased.,5,Female,"Nervousness, shaking (tremor), or  trouble sleeping  may occur."
55-64,Bronchospasm Prevention with COPD,2017-01-11,stiolto respimat mist inhaler,168804,4,4,"although I am breathing better, I am suffering with severe dry mouth, severe acid re-flux, a burning in my esophagus,mild shaking and mild tremors. also a bad headache. I have been taking the medication for about 4 months. I was okay up until the last new prescription... and BTW, check the little canister, not sure but it looked like mine had all ready been discharged, there was a small hole in the top before I acctivated it, not sure if the others were like that.",3, ,"Nervousness, shaking (tremor), or  trouble sleeping  may occur."
45-54,Bronchospasm Prevention with COPD,2016-07-07,stiolto respimat mist inhaler,168804,5,5,while it was easy to use and helped me breathe better than i had in years i had a reaxtion that caused bone and skin sensitivity and haven't been able to get lungs and breathing regulated in 8 months,1, ,"Nervousness, shaking (tremor), or  trouble sleeping  may occur."
65-74,Bronchospasm Prevention with COPD,2016-05-01,stiolto respimat mist inhaler,168804,3,3,"I like the once a day regimen and I use my rescue inhaler less often. But when I start to have an exacerbation, it has little or no effect and I am forced to use prednisone. I suspect that I could eliminate Stiolto and have a marginal effect on my quality of life. ",3, ,"Nervousness, shaking (tremor), or  trouble sleeping  may occur."
55-64,Bronchospasm Prevention with COPD,2015-08-18,stiolto respimat mist inhaler,168804,5,5,"Tried turdoza and symbicort and spiriva. This combo drug seems to be magic.  For the first time in over a year, I don't think of my copd.  Better tolerance to activity, ease of once a day administration.  The only thing better would be a new drug to reverse the progression of the disease.",5,Male,"Nervousness, shaking (tremor), or  trouble sleeping  may occur."
45-54,COPD with Chronic Bronchitis,2019-04-16,symbicort hfa aerosol with adapter,148393,4,1,If you are a diabetic I strongly advise you not to take this drug. My blood sugars skyrocketed and I gained 19 pounds in 2 months. Since I have stopped it in just 3 days my sugars are starting to normalize and the eight is coming off. This in my opinion is a bad medication and it really does not help COPD or Asthma. ,1,Male,"Headache , throat irritation, or  stomach  upset may occur."
75 or over,COPD with Chronic Bronchitis,2018-11-08,symbicort hfa aerosol with adapter,148393,4,4,I have been using Symbicort for 1 1/2 years ,1, ,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2017-07-26,symbicort hfa aerosol with adapter,148393,5,5,Have trouble breathing when walking and had to stop to catch my breath every 15-20 steps up hill I have COPD and quit smoking and have gained weight so I want to walk to get the pounds off . Started to use symbicort and noticed the difference right away now I can walk up hill with out so many stops this works the for me.,5, ,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2014-12-12,symbicort hfa aerosol with adapter,148393,5,4, ,4,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2014-05-03,symbicort hfa aerosol with adapter,148393,4,2, ,2,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2014-04-30,symbicort hfa aerosol with adapter,148393,4,2," I had been on Advair for about 5 years, now that I go to the VA for healthcare, my Dr. changed me to symbicort this past Jan 2014.I was slightly overweight anyway, but since starting this med, I have gained 27 lbs. in 4 mos. I've never been this heavy, even when I gained 35 lbs with my 1st pregnancy, this is ridiculous and I could slap those stupid Dr's who say inhaled steroids don't cause weight gain, they are NOT God and don't know everything! By the way, I have not changed my eating habits and started exercising 3 wks. ago and guess what, I've gained 2 1/2 lbs. ",1,Female,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2013-06-05,symbicort hfa aerosol with adapter,148393,5,5,My breathing has improved 100% but my back is so back hurts so bad i can't move or get out of bed sometimes,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
75 or over,Bronchospasm Prevention with COPD,2014-01-20,symbicort hfa aerosol with adapter,148393,5,5, ,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2013-10-22,symbicort hfa aerosol with adapter,148393,5,4, ,3,Male,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2013-10-16,symbicort hfa aerosol with adapter,148393,5,5,Works quickly ,5,Male,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2013-06-29,symbicort hfa aerosol with adapter,148393,5,5,Very effective from day 1,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2013-06-04,symbicort hfa aerosol with adapter,148393,4,5,I has surely helped me in my coughing problem,5,Male,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2013-03-05,symbicort hfa aerosol with adapter,148393,5,5, ,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2012-12-31,symbicort hfa aerosol with adapter,148393,2,3,I DON'T FEEL THE MEDICATION IS GETTING TO THE BACK OF MY THROAT.  MY TONGUE IS VERY THICK. I DON'T THINK I AM DOING IT RIGHT.,2,Female,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2012-11-28,symbicort hfa aerosol with adapter,148393,5,1,Severe side effects; mouth sores & then loss of sense of smell & taste - only used for 1 week in July now Nov still lost sense of smell & taste. Also experienced severe conjunctivitis in my eyes. Took 2 months to clear. As well cramps in legs stopped within 2 weeks of stopping medicine.,1,Female,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2012-11-13,symbicort hfa aerosol with adapter,148393,5,5,"I have dentures which I take out at night. In the morning my mouth is fine, but as the day goes on my mouth is very sore. Is this one of the side effects of using Symbicort?",4,Female,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2012-08-17,symbicort hfa aerosol with adapter,148393,4,1,"I was given this medicine to take with out them checking my heart,lungs(other than stethoscope & peak flow) I took it 1 time and had swollen tongue pain in the back of my neck dizziness I called them and the Dr said those are not side effects of the drug. I won't take it again. ",1,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2012-07-11,symbicort hfa aerosol with adapter,148393,3,5,couple of weeks ago i could not get my air and it would scare the heck out of me to the point i thought i would die. my doctor gave me a sample of symbicort last week and i have NOT had any more attackes like that and great stuff.,5,Male,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2012-05-15,symbicort hfa aerosol with adapter,148393,5,2,Been on for 2weeks.....have a very bad sore thoat still coughing ....did not take today...and I was also getting disy at work when doing things fast....,1,Female,"Headache , throat irritation, or  stomach  upset may occur."
75 or over,Bronchospasm Prevention with COPD,2012-04-01,symbicort hfa aerosol with adapter,148393,2,2,With over usage of symbicort  will this cause breathing problems   short of breath,2,Male,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2012-02-17,symbicort hfa aerosol with adapter,148393,5,3,"I've Only Used it for ten days Woke up one morning with bad pain right side of my Chest
All so Started Coughing up what looked like blood clots . After Coughing that up The pain in my chest was mostly gone ,Yes sounds like I May end up back in the Hospital,Where I Picked up this shortness in breath Any way ??",1,Male,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2012-02-12,symbicort hfa aerosol with adapter,148393,5,2,"I was diagnosed with COPD just a few months ago (after a visit to the emergency room). The doctor prescribed Symbicort, the low dose 80/4.5 variety. Although I am supposed to take it twice a day, I have stopped taking it in the morning. It gives me the shakes, I find that I am somewhat dizzy and tend to ""space out"". There have been morning where I am driving to work and halfway there think ""I shouldn't be driving""! It also affects my ability to work effectively once I did get safely into work.",1,Male,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2011-12-23,symbicort hfa aerosol with adapter,148393,5,5,can it cause a yeast infection,5,Male,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2011-11-12,symbicort hfa aerosol with adapter,148393,5,5,"I started using this medication about 1 1/2 - 2 years ago.  At first I thought it was a miracle cure.  HOWEVER, I have gained 35 - 40 pounds since I began using Symbicort and I can not seem to lose it.  Now I REALLY CAN'T BREATH!  Since I have never been heavy in my life, (I'm 57 yrs now), I threw the sh-t away. Also, I don't know if this medication had anything to do with it or not, but I developed hypo-thyroidism in this last 6 months.  What I do know is the extra weight is killing me faster than than my COPD is.",1,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2011-11-10,symbicort hfa aerosol with adapter,148393,4,3, ,3,Male,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2011-11-07,symbicort hfa aerosol with adapter,148393,5,5,Before symbicort came out I had to use three different inhailers now I only use it twice a day and have not had bronchitis in two years.  ,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2011-10-21,symbicort hfa aerosol with adapter,148393,1,1,"I have used Advair for years.  The Va recently added symbicort to the formulary and so ,obviously, it would be of financial benefit to me to not have to purchase Advair. I was prescribed the equivalent dosage of Symbicort. One, it is not as effective. Two, no MDIs are as good a delivery system as that used by Spiriva or Advair. MDI inhalers are just not the latest technology.......so what if it counts my doses so does Advair and Spiriva. Third, The VA must have gotten an Obama care price or it would never have been purchased.",1, ,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2011-09-21,symbicort hfa aerosol with adapter,148393,5,1,doesn't work for me,1,Male,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2011-07-22,symbicort hfa aerosol with adapter,148393,5,5,My Respertory specialist prescribed this for me and I have found it to be the best of any treatment for my Chronic bronchitis.,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2011-07-05,symbicort hfa aerosol with adapter,148393,5,5,"While Symbicort works well for apparent chronic bronchitis, the side-effects are dreadful: headaches, vision problems, rapid heartbeat, WEIGHT GAIN, bloating and anxiety.  I've decided that going back to the gym 4 days a week will yield significant benefits and I can throw this inhaler out the window.",1,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2011-05-15,symbicort hfa aerosol with adapter,148393,5,1,Broncitus,4,Male,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2011-04-21,symbicort hfa aerosol with adapter,148393,5,3,Having problems starting to urinate and maintaining a steady flow.  Blured vision.,2,Male,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2011-04-10,symbicort hfa aerosol with adapter,148393,4,4,"This drug has helped my COPD, however, I now have osteoporisis which I believe is a result of using this drug.
If there is anyone else who is experiencing this too; I would like to hear from you.",3,Female,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2011-02-20,symbicort hfa aerosol with adapter,148393,5,1,I HAVE USED SYMBICORT FOR OVER A YEAR FOR COPD AND SEE NO IMPROVEMENT.,1,Male,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2011-02-19,symbicort hfa aerosol with adapter,148393,4,4,I gained 10lbs in two months.  I discontinued.  Additional weight is making my breathing worse!,3,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2011-02-07,symbicort hfa aerosol with adapter,148393,2,2,"caused blisters or oral viral condition on inside of mouth. my doctor told me to stop use of symbicort and rinse mouth with salt water. did not work had to go to emergency clinic to releive pain from sore in mouth, now i'm in pain waiting to heal.",1,Female,"Headache , throat irritation, or  stomach  upset may occur."
75 or over,Bronchospasm Prevention with COPD,2011-02-05,symbicort hfa aerosol with adapter,148393,2,2,only taken it twice seems alright,2,Male,"Headache , throat irritation, or  stomach  upset may occur."
75 or over,COPD with Chronic Bronchitis,2011-01-29,symbicort hfa aerosol with adapter,148393,4,4,I began to have such severe leg cramps.  Woke me up at night.  I had to discontinue the use.  I also developed high blood pressure which I hadn't had before. Not sure if this was a side effect or not.,1,Female,"Headache , throat irritation, or  stomach  upset may occur."
65-74,Bronchospasm Prevention with COPD,2011-01-25,symbicort hfa aerosol with adapter,148393,5,5,has caused my voice to change to where it sounds raspy all the time especially right after use...sore throat....change in vision,1,Female,"Headache , throat irritation, or  stomach  upset may occur."
75 or over,Bronchospasm Prevention with COPD,2011-01-22,symbicort hfa aerosol with adapter,148393,5,5,With other meds was using rescue inhaler 5 or more times aday. Since Symbicort have had one rescue inhaler for 7 months.,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
 ,Bronchospasm Prevention with COPD,2011-01-07,symbicort hfa aerosol with adapter,148393,4,1, ,1, ,"Headache , throat irritation, or  stomach  upset may occur."
55-64,Bronchospasm Prevention with COPD,2011-01-04,symbicort hfa aerosol with adapter,148393,5,5,It is 3:00am and I am at my computer because I can't sleep and have horrific  foot cramps. I was told the cramps were due to dehydration but am noticing they started when I started Symbicort. Am going to stop and talk to my doctor.,2,Female,"Headache , throat irritation, or  stomach  upset may occur."
19-24,COPD with Chronic Bronchitis,2010-11-18,symbicort hfa aerosol with adapter,148393,3,2,I don't like ,2,Female,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2010-10-31,symbicort hfa aerosol with adapter,148393,5,5,"Tried other inhalers (Advair, etc) and didn't seem to help. Was using abuterol 2-3 times per day. Wasn't doing the trick. Dr. perscribed Symbicort (been on it for 5 wks now). From the first puffs, it worked perfectly. Only take 2 puffs each morning and lasts all day!  By the way, I'm a smoker and it still works extremely good.  Of course, my #1 goal now is to stop smoking.  ",5,Male,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2010-10-31,symbicort hfa aerosol with adapter,148393,3,2,inhailent,1,Female,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2010-10-22,symbicort hfa aerosol with adapter,148393,5,3,"was ok first couple of months, then developed severe shaking and tremors, heart palptations. quit taking feel much better,trying flovent & spireva much better so far",1,Male,"Headache , throat irritation, or  stomach  upset may occur."
75 or over,COPD with Chronic Bronchitis,2010-10-02,symbicort hfa aerosol with adapter,148393,4,4,"My pulmonologist replaced Spireva with Sym-bicort.  I am not sure as my primary physician prescribed Spireva several years ago.  I'm assuming it's because pulmonologists have deeper training with their specialty.  I do have COPD with occasional bouts of pneumonia requiring hos-
pitalization.  ",4,Male,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2010-09-15,symbicort hfa aerosol with adapter,148393,1,2,"leg and foot cramsp, depression, crying all the time, tired, fearful and don't want to get dressed.Have tgrouble sleeping",1,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2010-08-25,symbicort hfa aerosol with adapter,148393,4,3,Been on Symbicort since Feb. 2010 but my lungs are still very clogged. Started having Xolair shots along with it for last 2 months and still my lungs won't clear. Only thing that clears lungs up is prednisone..but only for a week or two. Am at the end of my rope..so may drugs and nothing much helps..12 years now.. don't know what to take next.,3,Female,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2010-08-17,symbicort hfa aerosol with adapter,148393,4,4, ,4,Male,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2010-08-02,symbicort hfa aerosol with adapter,148393,5,5, ,5,Male,"Headache , throat irritation, or  stomach  upset may occur."
35-44,COPD with Chronic Bronchitis,2010-06-21,symbicort hfa aerosol with adapter,148393,5,5, ,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
75 or over,COPD with Chronic Bronchitis,2010-06-20,symbicort hfa aerosol with adapter,148393,5,4,Seems to be helping my COPD...but I have a qestions.  I get a bloody nose every now and then (real unusual for me) and would like to kno is that a side effect of the drug?,4,Female,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2010-05-30,symbicort hfa aerosol with adapter,148393,4,3, ,3,Male,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2010-05-27,symbicort hfa aerosol with adapter,148393,5,4,"Cough and short of breath when lying down have gone away , however sleeplessness. ",4,Male,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2010-03-21,symbicort hfa aerosol with adapter,148393,4,4,"I have been using Symbicort for 2 years with great results.  About 2 weeks ago, started sounding hoarse with no pain, and still barely can talk.  Dr. advised my lungs are clear and normal temp.  She didn't suggest that this may be a side effect of Symbicort.  ",4,Male,"Headache , throat irritation, or  stomach  upset may occur."
35-44,COPD with Chronic Bronchitis,2010-03-01,symbicort hfa aerosol with adapter,148393,4,3,not really been on it long enough to see a whole lot of difference,3,Female,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2010-02-27,symbicort hfa aerosol with adapter,148393,4,4,"works well for my condition, however i believe it is causing tremors in my arm.",4,Female,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2010-02-18,symbicort hfa aerosol with adapter,148393,4,3,"cramps in the legs started 4 days ago after
using it for about 10 days.
The cramps in the legs are so painful it
wakes me up - 4:00am

last night leg cramps and toes locked up
and I couldnt stand on both legs.

The only way to continue is to take quinine
and/or drinking some tonic water(with quinine)

Just wondering whether to continue taking
symbicort with today's warnings.",4,Male,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2010-02-08,symbicort hfa aerosol with adapter,148393,4,4,Helps for reason prescribed but now having vision problems,3,Female,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2010-01-22,symbicort hfa aerosol with adapter,148393,5,5,Breathing better within 24 hrs of first dose and have a lot of energy.,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2010-01-15,symbicort hfa aerosol with adapter,148393,5,5,"This medication worked very quickly on first use and after 1 month I feel better than I have in years!

",5,Female,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2009-12-04,symbicort hfa aerosol with adapter,148393,4,4,"I'm still breathing!
",4,Male,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2009-12-01,symbicort hfa aerosol with adapter,148393,5,4, ,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2009-11-26,symbicort hfa aerosol with adapter,148393,5,4,works good for my copd but i think it has a side effect of tendonitis,4,Male,"Headache , throat irritation, or  stomach  upset may occur."
75 or over,COPD with Chronic Bronchitis,2009-11-21,symbicort hfa aerosol with adapter,148393,5,4, ,3,Male,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2009-10-13,symbicort hfa aerosol with adapter,148393,4,4,"While this inhaler did help with my breathing (2 puffs-twice daily),within one week of taking it I started having strange episodes. First came the sour stomach (something I never have trouble with), then my blood pressure and heart rate went through the roof, and last but not least (and the worst) symptom of all was dry eyes and vertigo. This inhaler caused to much negatives and not enough positives for me to continue using it...Good luck!",1,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2009-10-11,symbicort hfa aerosol with adapter,148393,5,5,I HAVE COPD WITH CHRONIC BRONCHITIS AND SYMBICORT HAS GIVEN ME BACK MY LIFE. I AM STILL ON A MOBIILITY SCOOTER BUT I CAN NOW RAISE MY ARMS OVER MY HEAD TO WASH MY OWN HAIR. YOU CANNOT IMAGINE WHAT THAT MEANS TO ME. I STILL GET TIRED AFTER SIX HOURS AT WORK BUT I CAN STILL WORK. I HAVE FAIRLY GOOD INSURANCE SO I ONLY PAY $35 A MONTH. THANK GOD FOR THIS PRODUCT. I'M ALIVE.,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
25-34,COPD with Chronic Bronchitis,2009-09-26,symbicort hfa aerosol with adapter,148393,5,2, ,2,Male,"Headache , throat irritation, or  stomach  upset may occur."
45-54,COPD with Chronic Bronchitis,2009-09-23,symbicort hfa aerosol with adapter,148393,5,3,Have found the advair inhaler works better. Much less expensive also.,3,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2009-08-25,symbicort hfa aerosol with adapter,148393,4,4,I have had COPD for years and tried many different treatments.  This really seems to work for me.,5,Female,"Headache , throat irritation, or  stomach  upset may occur."
25-34,COPD with Chronic Bronchitis,2009-08-13,symbicort hfa aerosol with adapter,148393,5,5, ,5,Male,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2009-08-05,symbicort hfa aerosol with adapter,148393,5,5,"My doctor gave me two samples and they seemed to work great along with Combivent but I do not have insurance and the cheapest pharmacy around charges $218. Simply cannot afford it! Government needs to control costs, not worry about giving us all insurance.",4,Female,"Headache , throat irritation, or  stomach  upset may occur."
55-64,COPD with Chronic Bronchitis,2009-07-22,symbicort hfa aerosol with adapter,148393,2,2,"sore throat,coughing, sinus infection and ear infection,Been to the Dr. 3 times now for sore throats, sinus coughing up mucus ear infections. Going back to Lung Dr. to request taken off symbicort.Swelling in my left foot, ",2, ,"Headache , throat irritation, or  stomach  upset may occur."
65-74,COPD with Chronic Bronchitis,2009-07-03,symbicort hfa aerosol with adapter,148393,4,4,I like Symbicort.  If I use a lot I get slightly hoarse. Costs $188 locally so I get it from a Canadian pharmacy for $52.  I'd have to suffer otherwise.,4,Male,"Headache , throat irritation, or  stomach  upset may occur."
65-74,Bronchospasm Prevention with COPD,2019-05-18,spiriva respimat mist inhaler,164818,1,4,Capsules empty at least 2 per 30 day prescription  For Expensive med cannot afford to have empty capsules Cant find contact email address  for manufacturer  ,2,Female,Dry mouth  and  dizziness  may occur.
55-64,Bronchospasm Prevention with COPD,2019-04-30,spiriva respimat mist inhaler,164818,5,5,The last two Rx refills look exactly like they always do. However upon inhalation there is a very strong taste/smell of soap.,5, ,Dry mouth  and  dizziness  may occur.
55-64,Bronchospasm Prevention with COPD,2019-03-30,spiriva respimat mist inhaler,164818,4,1,curious..my teeth are now splitting chunks of enamel and are cracking. is anyone else having this problem?,1,Female,Dry mouth  and  dizziness  may occur.
75 or over,Bronchospasm Prevention with COPD,2019-02-10,spiriva respimat mist inhaler,164818,3,3,I am coughing up more yellow mucus. Also  have blurred vision . Last prescription I got has a bad smell and taste . I will take it back to Drug store  and hopefully get a refund. It smells like silage and garlic mixed together.I have been using it for 2years with a little improvement in breathing.,3, ,Dry mouth  and  dizziness  may occur.
55-64,Bronchospasm Prevention with COPD,2018-04-10,spiriva respimat mist inhaler,164818,5,3,"I now have this weird cough, and its like there is something stuck back in the top of my throat.It never really gave me the full nice breaths I was getting on a prior medication. Im off to the drs to try something else.This weird cough is CONSTANT",2,Female,Dry mouth  and  dizziness  may occur.
